name,restaurant_type,rate,votes,avg_receipt,online_order,table_booking,cuisines_type,area
#FeelTheROLL,Quick Bites,3.4,7.0,200.0,0,0,Fast Food,Bellandur
#L-81 Cafe,Quick Bites,3.9,48.0,400.0,1,0,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
#refuel,Cafe,3.7,,400.0,1,0,"Cafe, Beverages",Bannerghatta Road
'@ Biryani Central,Casual Dining,2.7,135.0,550.0,1,0,"Biryani, Mughlai, Chinese",Marathahalli
'@99,"Takeaway, Delivery",3.4,37.0,200.0,0,0,"Mughlai, Biryani, Chinese, North Indian",Whitefield
'@Italy,Casual Dining,4.1,305.0,700.0,1,0,Italian,Banashankari
'@North Parontha Hut,"Takeaway, Delivery",2.8,40.0,300.0,0,0,North Indian,Indiranagar
1000 B.C,Quick Bites,3.2,49.0,300.0,1,0,"Arabian, Sandwich, Rolls, Burger","Byresandra,Tavarekere,Madiwala"
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41.0,450.0,0,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala"
11 to 11 Express Biriyanis,Quick Bites,3.5,22.0,300.0,1,0,"Biryani, Kebab",Electronic City
1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861.0,1500.0,0,1,"Continental, Asian, Italian, North Indian",Old Airport Road
12th Main - Grand Mercure,Fine Dining,4.1,353.0,2000.0,0,1,"European, Asian","Byresandra,Tavarekere,Madiwala"
1441 Pizzeria,Casual Dining,4.1,119.0,800.0,1,0,"Pizza, Salad",Basavanagudi
1522 - The Pub,Pub,4.2,1731.0,1400.0,1,0,"Chinese, Continental, North Indian",Malleshwaram
154 Breakfast Club,Cafe,4.0,1509.0,900.0,1,1,"Cafe, Continental","Byresandra,Tavarekere,Madiwala"
1722 Urban Bistro,Casual Dining,4.1,218.0,600.0,1,1,"North Indian, Chinese, Fast Food, Biryani","Byresandra,Tavarekere,Madiwala"
18+ Ice Cafe,Cafe,3.5,24.0,550.0,0,0,"Cafe, Fast Food, Chinese, Beverages",Kalyan Nagar
1947,Casual Dining,3.9,620.0,1000.0,0,1,"North Indian, Chinese, Continental",Rajajinagar
1980s Games Cafe,Cafe,3.4,58.0,400.0,1,0,"Cafe, Fast Food",Banashankari
1992 Chats - Space,Quick Bites,3.7,33.0,200.0,1,0,Street Food,Malleshwaram
1Q1,"Casual Dining, Bar",4.3,595.0,2500.0,0,1,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",Brigade Road
1TO3 Kitchen,Delivery,3.1,11.0,800.0,0,0,"North Indian, Chinese, Continental, Italian, South Indian",Marathahalli
2 Statez,Casual Dining,3.7,209.0,600.0,1,0,"Kerala, Seafood, South Indian, North Indian, Chinese",Kalyan Nagar
20 Char - Sterlings MAC Hotel,"Casual Dining, Bar",4.0,419.0,1400.0,1,1,"Chinese, Continental, North Indian, South Indian, Arabian",Indiranagar
20 Feet High,"Casual Dining, Bar",4.0,932.0,1000.0,1,1,"American, Continental, Steak, Salad",Brigade Road
21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15.0,1000.0,0,0,Continental,Basavanagudi
24 Carats - The Capitol,Casual Dining,3.1,46.0,1000.0,0,0,"Asian, Continental",Brigade Road
24 Hours Cake Delivery,Delivery,3.3,4.0,700.0,0,0,Bakery,Indiranagar
24 Hours Coffee Drop - La Classic,Cafe,3.4,9.0,800.0,0,0,Cafe,Electronic City
24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344.0,3000.0,0,1,"Continental, North Indian, Italian, Chinese",Malleshwaram
24/7 Food Service,"Takeaway, Delivery",2.9,7.0,300.0,1,0,"South Indian, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala"
24@43 - The Oterra,Fine Dining,4.1,268.0,3000.0,0,1,"North Indian, Asian, Continental",Electronic City
24th Main,Casual Dining,4.1,1234.0,800.0,0,1,"North Indian, South Indian, Chinese",Bannerghatta Road
29 Degrees North,Quick Bites,3.9,283.0,250.0,1,0,"North Indian, Fast Food, Street Food",Kalyan Nagar
2nd Home Restaurant,Quick Bites,3.7,21.0,500.0,1,0,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
3 Leafs,Casual Dining,3.7,128.0,600.0,1,0,"North Indian, South Indian, Chinese",Marathahalli
3 Spice,Casual Dining,3.9,156.0,450.0,1,0,"North Indian, Chinese",Koramangala 7th Block
30 Square,Quick Bites,4.2,556.0,400.0,1,0,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala"
360 Atoms Restaurant And Cafe,Cafe,3.1,13.0,400.0,1,0,"Cafe, Chinese, Continental, Italian",Banashankari
36th Cross Coffee Mane,Casual Dining,3.7,29.0,500.0,0,0,"North Indian, Chinese",JP Nagar
37 China Town,Casual Dining,3.5,58.0,900.0,0,0,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road
"3B's - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149.0,1100.0,0,1,"North Indian, Mediterranean, European, BBQ","Byresandra,Tavarekere,Madiwala"
3G's - Gulp & Groove,"Bar, Casual Dining",4.1,662.0,1100.0,1,1,"Finger Food, Continental, Chinese",Malleshwaram
3rd Innings,"Casual Dining, Bar",3.0,17.0,1000.0,0,0,"Burger, Italian, North Indian, Chinese",Electronic City
4 Mangoes,Kiosk,3.7,14.0,200.0,0,0,Ice Cream,Indiranagar
4 Seasons Restaurant,Casual Dining,3.7,399.0,1000.0,1,1,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar
4 States,Food Court,3.2,4.0,400.0,0,0,South Indian,Sarjapur Road
4700BC Popcorn,"Takeaway, Delivery",4.1,55.0,500.0,0,0,Fast Food,Whitefield
4Foodiez,Quick Bites,3.6,82.0,300.0,1,0,"South Indian, North Indian, Chinese",Electronic City
4Foodiez - The Restaurant,Quick Bites,3.0,23.0,400.0,0,0,"Street Food, Chinese, North Indian, South Indian",Electronic City
4K Biryani,Delivery,3.3,4.0,700.0,1,0,"North Indian, Chinese",HSR
4th Tea Block,Cafe,4.0,62.0,150.0,0,0,Cafe,Basavanagudi
50-50 EATING HOUSE,Quick Bites,3.2,4.0,100.0,0,0,"South Indian, Biryani",Banashankari
52 Wall Street,"Bar, Casual Dining",3.9,737.0,1400.0,0,0,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala"
55 Wall Street,Bar,3.9,1763.0,1300.0,0,1,"Finger Food, North Indian, Chinese",Bannerghatta Road
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51.0,150.0,0,0,"Mithai, Street Food",HSR
5th Main Cafe,Cafe,3.5,15.0,250.0,0,0,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala"
7 Days Restaurant,Quick Bites,3.8,478.0,400.0,1,0,"North Indian, Chinese, Arabian",Electronic City
7 Degrees North,Casual Dining,3.5,11.0,500.0,0,0,North Indian,HSR
7 Hills Andhra Mess,Mess,3.4,8.0,300.0,0,0,Andhra,Indiranagar
7 Plates,Casual Dining,3.5,531.0,600.0,1,0,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli
7 Shanghai,Quick Bites,3.5,18.0,250.0,1,0,Chinese,Electronic City
7 Spice,Quick Bites,3.4,5.0,250.0,0,0,"Biryani, Chinese",Kalyan Nagar
7 to 11 Food Court,Quick Bites,3.7,16.0,200.0,1,0,"Fast Food, Burger, North Indian, South Indian",Frazer Town
70 Brigade - Iris Hotel,Casual Dining,3.9,105.0,1000.0,0,1,"Chinese, North Indian, Pizza",Brigade Road
7Biryanis,Casual Dining,3.2,4.0,600.0,1,0,"Andhra, Biryani",Kalyan Nagar
7th Heaven,Bakery,3.6,17.0,300.0,0,0,"Bakery, Desserts",New BEL Road
8 Slice,Delivery,3.7,74.0,600.0,1,0,Pizza,Brigade Road
90's Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7.0,1000.0,0,0,Finger Food,Electronic City
99 Caffe,Quick Bites,3.6,106.0,250.0,1,0,"South Indian, North Indian, Chinese",Brookefield
99 Pancakes,Dessert Parlor,4.1,41.0,150.0,1,0,"Desserts, Ice Cream",Brigade Road
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16.0,250.0,1,0,"South Indian, North Indian, Street Food",Koramangala 5th Block
99 Variety Dosa and Pav Bhaji,Quick Bites,4.0,101.0,250.0,1,0,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala"
99Foods,Quick Bites,3.4,32.0,400.0,0,0,"Biryani, North Indian, Chinese, Kebab",Marathahalli
9D Foods,Quick Bites,4.0,458.0,400.0,1,0,"North Indian, Street Food",Brookefield
9th Cross Cafe,Cafe,3.6,12.0,550.0,0,0,"Cafe, Italian, French",Indiranagar
A Bar,Bar,3.3,19.0,600.0,0,0,"North Indian, Continental","Byresandra,Tavarekere,Madiwala"
A Hole Lotta Love Cafe,Cafe,4.3,2871.0,600.0,1,0,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4th Block
A Little For Love,Bakery,3.4,12.0,350.0,0,0,Bakery,Kalyan Nagar
A M Biryani Hotel,Quick Bites,3.3,6.0,300.0,1,0,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road
A Southern Fair,Casual Dining,3.0,19.0,750.0,1,0,"Biryani, Seafood, South Indian",Whitefield
A Today Thick Shakes,Beverage Shop,3.2,9.0,200.0,0,0,Beverages,Jayanagar
A.M New Punjab Food Corner,Quick Bites,3.5,21.0,350.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4.0,300.0,0,0,Biryani,Rajajinagar
A1 Biriyani Point,Quick Bites,3.0,10.0,200.0,0,0,Biryani,Malleshwaram
A1 Garam Masala,Casual Dining,3.6,25.0,500.0,1,0,"North Indian, Andhra, Chinese",JP Nagar
A1 Hot Dum Biryani,Quick Bites,3.2,4.0,150.0,0,0,Biryani,Whitefield
A1 Spice Inn,Casual Dining,3.5,46.0,500.0,0,0,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544.0,400.0,1,0,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97.0,400.0,1,0,"South Indian, Fast Food, Street Food",Basavanagudi
A3 Nuwang Kitchen,Quick Bites,3.7,42.0,300.0,1,0,"Chinese, North Indian",Indiranagar
Aaccord Restaurant,Casual Dining,2.8,40.0,600.0,0,0,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Aadhya Hotel,,3.3,5.0,800.0,1,0,"South Indian, North Indian, Chinese, Biryani",Banashankari
Aadvik Nightfood,Delivery,3.6,22.0,350.0,1,0,Fast Food,Frazer Town
Aaha,Quick Bites,3.6,93.0,300.0,1,0,"North Indian, Chinese",Marathahalli
Aaha Andhra,Casual Dining,3.4,58.0,900.0,0,0,"Andhra, Biryani, North Indian",Marathahalli
Aahar Vihar,Quick Bites,4.0,68.0,250.0,1,0,North Indian,Brookefield
Aahara Vihar,Quick Bites,3.5,13.0,300.0,0,0,"South Indian, North Indian, Chinese",Malleshwaram
Aaharam,Quick Bites,4.0,65.0,350.0,0,0,"Chinese, North Indian",HSR
Aalishan Restaurant & Caterer,Casual Dining,3.5,888.0,650.0,1,0,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala"
Aami Bangali,Casual Dining,3.0,66.0,700.0,1,0,Bengali,"Byresandra,Tavarekere,Madiwala"
Aami Kolkata,Delivery,3.3,5.0,600.0,0,0,Bengali,Bannerghatta Road
Aao G Khao G,Quick Bites,3.5,11.0,200.0,1,0,"North Indian, Chinese",HSR
Aapni Rasoi,Quick Bites,3.2,127.0,400.0,1,0,North Indian,Bellandur
Aaranya Restaurant,Casual Dining,3.4,212.0,800.0,1,0,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala"
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15.0,200.0,1,0,"North Indian, Fast Food",New BEL Road
Aarya Pork Hotel,Quick Bites,3.3,11.0,300.0,0,0,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala"
Aashirvaad Restaurant,Quick Bites,3.1,249.0,300.0,1,0,"North Indian, Oriya, Chinese",Brookefield
Aashish Foods,Quick Bites,2.7,35.0,150.0,1,0,North Indian,Brookefield
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120.0,600.0,1,0,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Aastha Bengali Mess,Quick Bites,3.9,131.0,250.0,1,0,"Chinese, Bengali",Malleshwaram
Aathithya,Casual Dining,3.1,16.0,1100.0,0,0,"North Indian, Continental, Chinese",Brigade Road
Aathurar,Casual Dining,3.2,574.0,600.0,1,0,"Chettinad, Biryani, South Indian, Seafood",Indiranagar
Abbabi Chicken,Quick Bites,3.7,134.0,200.0,0,0,Fast Food,Sarjapur Road
ABC Grand,Casual Dining,3.5,54.0,400.0,0,0,"Andhra, Chinese, North Indian",Old Airport Road
Abhiruchi,Casual Dining,3.8,164.0,650.0,0,0,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar
Abhiruchi Andhra Mess,Mess,3.1,61.0,300.0,1,0,"Andhra, Biryani, South Indian",Whitefield
Abhiruchi Hotel,Casual Dining,3.2,12.0,500.0,1,0,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4.0,300.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala"
Abhiruchi Restaurant,Casual Dining,3.4,5.0,400.0,1,0,"Andhra, North Indian, Chinese",Bellandur
AB's - Absolute Barbecues,Casual Dining,4.6,1502.0,1400.0,0,1,"European, Mediterranean, North Indian, BBQ",Kalyan Nagar
Absolute Chinese,Quick Bites,3.8,209.0,450.0,1,0,"Chinese, Fast Food, Momos",Malleshwaram
Absolute Waffles,Dessert Parlor,3.9,49.0,200.0,1,0,"Desserts, Fast Food",Malleshwaram
Abzain Paradise,Quick Bites,2.9,42.0,300.0,0,0,North Indian,New BEL Road
Achayyan's,Quick Bites,3.8,405.0,350.0,1,0,"Kerala, South Indian",Indiranagar
Ackley Kitchen,Quick Bites,3.6,33.0,500.0,1,0,"Fast Food, Continental, Burger",Marathahalli
Adarsh Bakery,Bakery,3.1,10.0,300.0,0,0,"Bakery, Fast Food",Electronic City
Adda,Quick Bites,3.3,5.0,300.0,0,0,South Indian,Basavanagudi
Addhuri Udupi Bhojana,Quick Bites,3.7,88.0,300.0,0,0,"South Indian, North Indian",Banashankari
Adiga's,Quick Bites,3.3,55.0,150.0,0,0,South Indian,Basavanagudi
Adi's Cake N Cafe,Bakery,3.3,4.0,400.0,0,0,Bakery,"Byresandra,Tavarekere,Madiwala"
Adithya,Casual Dining,3.9,178.0,450.0,1,0,"South Indian, North Indian, Chinese",Bannerghatta Road
Adithya Family Restaurant,Quick Bites,3.7,27.0,250.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala"
Adithya Veg,Quick Bites,3.3,10.0,300.0,0,0,"South Indian, Chinese",Basavanagudi
Aditya Delights,Quick Bites,3.7,59.0,300.0,0,0,"Chinese, North Indian, Mangalorean",New BEL Road
Aditya Sweets,Sweet Shop,3.7,21.0,200.0,1,0,"Mithai, Fast Food",Brookefield
Aditya Uphar,Quick Bites,3.5,30.0,200.0,0,0,"South Indian, Chinese, North Indian",JP Nagar
Adukkala Restaurant,Casual Dining,2.9,128.0,600.0,1,0,Kerala,Kammanahalli
Adupadi,Quick Bites,2.9,25.0,450.0,0,0,"South Indian, Chettinad",Whitefield
Advika Briyani Center,Delivery,3.2,10.0,300.0,0,0,Biryani,JP Nagar
Adya Hotel,Quick Bites,3.3,4.0,400.0,0,0,"South Indian, North Indian, Chinese",Electronic City
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6.0,200.0,1,0,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala"
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4.0,200.0,1,0,"Mithai, Desserts",JP Nagar
Afghani Tandoori Hub,Quick Bites,3.6,14.0,400.0,1,0,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala"
Afoozoo - Ginger Hotel,Casual Dining,3.5,40.0,800.0,0,0,"North Indian, Chinese",Brookefield
Afrina's Kitchen,"Takeaway, Delivery",3.4,,250.0,1,0,"Fast Food, Desserts",Frazer Town
Agarwal Food Service,Delivery,3.5,16.0,400.0,1,0,"North Indian, Chinese, Biryani",HSR
Agent Jack's Bar,Bar,4.0,377.0,1300.0,0,1,"Continental, North Indian, Italian",Kalyan Nagar
Agraharam Meal,"Takeaway, Delivery",3.7,61.0,300.0,0,0,"North Indian, South Indian",Marathahalli
Aha Juice Bar,Beverage Shop,3.6,13.0,200.0,0,0,"Beverages, Fast Food",Bannerghatta Road
AhimsaAmrit Green Cafe,Casual Dining,3.4,9.0,800.0,0,0,"Healthy Food, Salad, Continental",Indiranagar
Ahmad's Chicken Hut,Quick Bites,3.2,9.0,200.0,0,0,"North Indian, Chinese",Kalyan Nagar
Aioli,Casual Dining,4.2,783.0,1400.0,0,1,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar
Airlines Hotel,Quick Bites,4.0,867.0,400.0,1,0,"South Indian, North Indian, Street Food",Brigade Road
Aishwarya,Dhaba,3.3,6.0,450.0,0,0,"Chinese, North Indian",Whitefield
Aishwarya Parkland,Casual Dining,2.9,59.0,500.0,0,0,"Chinese, North Indian",Bannerghatta Road
Aishwarya Sweets,Sweet Shop,3.6,24.0,250.0,1,0,"Mithai, Street Food",Malleshwaram
Ajwa Thalassery Biryani,Quick Bites,3.9,42.0,500.0,1,1,"Biryani, South Indian",Bellandur
Akkad Bakkad,Casual Dining,3.9,72.0,600.0,1,1,"North Indian, Chinese",Electronic City
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40.0,500.0,1,0,"North Indian, Mughlai, South Indian",Marathahalli
Akshara,Casual Dining,3.8,42.0,700.0,1,0,"North Indian, South Indian, Chinese",Electronic City
Akshatha Nati Style,Quick Bites,3.7,20.0,500.0,0,0,"South Indian, Chinese, North Indian",Rajajinagar
AKSHAYA BIRYANI,Quick Bites,3.6,20.0,300.0,1,0,"Biryani, North Indian",Bellandur
Akshaya Deluxe,Casual Dining,4.0,336.0,500.0,1,0,"North Indian, Chinese, Seafood, Biryani",New BEL Road
Akshaya Donne Biriyani,Quick Bites,3.0,39.0,300.0,1,0,"Biryani, South Indian, Kebab",JP Nagar
Akshaya Family Restaurant,Quick Bites,3.2,4.0,150.0,1,0,"South Indian, North Indian",Kalyan Nagar
Akshaya Grand,Casual Dining,3.4,29.0,750.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala"
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13.0,200.0,0,0,"South Indian, Chinese",Church Street
Akss - India Reimagined,Casual Dining,4.2,258.0,1800.0,0,1,"Modern Indian, North Indian",Malleshwaram
Al Amal Cafe,"Cafe, Quick Bites",4.0,74.0,300.0,0,0,"Cafe, Fast Food",Kalyan Nagar
Al Amanah Cafe,Quick Bites,4.4,1413.0,300.0,1,0,"Middle Eastern, Fast Food, Rolls",Frazer Town
Al Ameen Rolls Corner,Quick Bites,3.7,16.0,200.0,0,0,Rolls,Kalyan Nagar
Al Barack Cafetaria,Quick Bites,3.6,20.0,300.0,0,0,Arabian,Kalyan Nagar
Al Daaz,Casual Dining,4.2,567.0,550.0,1,0,"North Indian, Continental, BBQ",Bellandur
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12.0,300.0,1,0,Biryani,Jayanagar
Al Ghani Resetaurant,Quick Bites,3.3,4.0,400.0,0,0,"Mughlai, Biryani",Kammanahalli
Al Habibi Restaurant,Quick Bites,3.5,17.0,300.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Al Hayath,Quick Bites,3.5,16.0,200.0,0,0,"North Indian, Chinese",Koramangala 5th Block
Al Hayath Ambur Biryani,Quick Bites,3.3,9.0,200.0,0,0,Biryani,Koramangala 4th Block
Al Karim,Casual Dining,3.7,90.0,400.0,0,0,"Mughlai, North Indian, Biryani, Chinese",Kammanahalli
Al Khaleej Snacks Corner,Quick Bites,2.8,40.0,200.0,0,0,"Lebanese, Fast Food, Beverages",Basavanagudi
Al Khansah,Casual Dining,3.9,370.0,550.0,1,0,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur
Al Khwaja,Casual Dining,3.0,13.0,400.0,0,0,"North Indian, Chinese",Bellandur
Al Madhina Roll House,Quick Bites,3.4,6.0,300.0,0,0,"North Indian, Chinese",Kammanahalli
Al Madina Family Restaurant,Quick Bites,2.8,40.0,500.0,0,0,"North Indian, South Indian, Arabian",Basavanagudi
Al Madina Roll House,Quick Bites,3.6,16.0,150.0,1,0,Biryani,Kalyan Nagar
Al Noor,Quick Bites,3.7,21.0,350.0,0,0,"North Indian, Chinese, Arabian, Rolls",Brigade Road
Al Sadique,Quick Bites,3.9,185.0,450.0,1,0,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar
Al Sadique Restaurant,Quick Bites,3.4,32.0,350.0,0,0,"Mughlai, North Indian, Street Food",MG Road
Al Swaad Take Away,Quick Bites,3.1,12.0,350.0,1,0,"North Indian, South Indian, Arabian",Brigade Road
Al Taj Fast Food,Quick Bites,3.2,4.0,600.0,1,0,"Fast Food, North Indian, South Indian, Chinese",Rajajinagar
Al Zaiqa Hotel,Quick Bites,3.4,14.0,200.0,1,0,"Chinese, South Indian, Fast Food",Marathahalli
Alampur Bar And Restaurant,Casual Dining,3.7,42.0,900.0,1,0,"Chinese, South Indian, North Indian",Brigade Road
Alankrutha,Casual Dining,3.8,260.0,500.0,1,0,"Andhra, Biryani, North Indian, Chinese",Koramangala 5th Block
Alba - JW Marriott Bengaluru,Fine Dining,4.4,561.0,4000.0,0,1,Italian,Church Street
Al-Badia Restaurant,Casual Dining,4.2,89.0,700.0,0,0,Arabian,Kalyan Nagar
Al-Baik Kabab Corner,Quick Bites,3.2,25.0,350.0,1,0,"Kebab, Biryani",Malleshwaram
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113.0,450.0,1,0,"North Indian, Chinese, Arabian, Biryani, Rolls",Frazer Town
Al-Bek,Casual Dining,3.9,682.0,650.0,1,0,"North Indian, Mughlai, Chinese, Seafood","Byresandra,Tavarekere,Madiwala"
Albert Bakery,Bakery,4.3,346.0,150.0,0,0,"Bakery, Fast Food",Frazer Town
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446.0,2000.0,0,1,Modern Indian,Brigade Road
Alchemy Coffee Roasters,Cafe,4.2,704.0,500.0,0,0,Cafe,Basavanagudi
Alfa Family Restaurant,Casual Dining,3.0,27.0,400.0,0,0,"North Indian, Arabian, Chinese",Basavanagudi
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",3.7,77.0,2000.0,0,1,Continental,Malleshwaram
Ali Snacks Point,Quick Bites,3.4,5.0,150.0,1,0,"Chinese, Momos",Malleshwaram
Alibaba Cafe and Restaurant,Casual Dining,2.9,55.0,700.0,0,0,"Arabian, Middle Eastern",Kammanahalli
AlienSip,Beverage Shop,3.6,11.0,200.0,1,0,Juices,Bannerghatta Road
Alif Restaurant,Casual Dining,3.6,26.0,600.0,1,0,"North Indian, Chinese",Bannerghatta Road
Aligarh House,Delivery,4.4,98.0,400.0,1,0,"North Indian, Biryani, Awadhi, Mughlai","Byresandra,Tavarekere,Madiwala"
All Saints Bakery,Bakery,3.6,23.0,200.0,0,0,Bakery,Brigade Road
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34.0,300.0,1,0,"Desserts, Beverages",Brookefield
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19.0,300.0,1,0,"Desserts, Beverages",Malleshwaram
Allahabadi Tadaka,Casual Dining,2.9,46.0,250.0,0,0,North Indian,Indiranagar
Allana Kabab,Quick Bites,3.3,4.0,200.0,0,0,North Indian,Church Street
Alloro - The Oterra,Fine Dining,4.0,63.0,2500.0,0,1,Italian,Electronic City
Al-Madina,"Takeaway, Delivery",3.3,8.0,500.0,0,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Al-Madina Restaurant,Casual Dining,3.4,22.0,400.0,0,0,"Arabian, North Indian, Chinese, Kerala",Basavanagudi
Al-Marhaba Restaurant,Quick Bites,2.8,40.0,400.0,1,0,"Arabian, Chinese, North Indian, Rolls, Momos",Bannerghatta Road
Alpha - House of Biryani & Tandoor,Casual Dining,3.3,387.0,800.0,1,0,"Biryani, North Indian, Chinese",Brookefield
Al-Sidique,Quick Bites,4.0,314.0,400.0,1,0,"North Indian, Chinese",Rajajinagar
alt,"Bar, Lounge",4.1,821.0,1900.0,0,1,Finger Food,Whitefield
Altaf's Chillies Restaurant,Casual Dining,3.8,,500.0,1,0,"North Indian, Chinese",Frazer Town
Altaj Restaurant,Casual Dining,3.3,6.0,700.0,0,0,"North Indian, Chinese",Malleshwaram
Al-Taj Restaurant,Casual Dining,3.3,10.0,600.0,1,0,"South Indian, North Indian, Chinese",Rajajinagar
Alter Ego D'Deli,Cafe,3.8,140.0,650.0,1,0,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",Kalyan Nagar
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,4.3,263.0,3000.0,0,1,"Italian, Salad",Brookefield
AM WOW,Beverage Shop,3.4,6.0,100.0,1,0,Beverages,Banashankari
Amande Patisserie,Bakery,4.0,73.0,300.0,1,0,"Bakery, French, Desserts",Banashankari
Amanthrana Gardenia,Casual Dining,3.8,107.0,800.0,1,0,"North Indian, Andhra, BBQ, Seafood, Chinese",Brookefield
Amantrana,Casual Dining,3.2,15.0,800.0,0,0,"North Indian, South Indian",Rajajinagar
Amar Kolkata,Quick Bites,3.2,4.0,300.0,0,0,"Bengali, North Indian, Chinese",Indiranagar
Amara Food Point,"Takeaway, Delivery",3.3,4.0,250.0,0,0,South Indian,"Byresandra,Tavarekere,Madiwala"
Amaravathi Bar & Restaurant,"Casual Dining, Bar",3.7,43.0,400.0,0,0,"North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala"
Amaravathi Mess,Quick Bites,3.6,108.0,400.0,1,0,"Andhra, Biryani",Electronic City
Amaravati,Quick Bites,3.6,39.0,400.0,0,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Amaravati - Pure Veg Restaurant,Quick Bites,3.5,93.0,350.0,1,0,"South Indian, North Indian, Chinese",Marathahalli
Amaravati Authentic Andhra Restaurant,Casual Dining,3.0,148.0,600.0,1,0,"Andhra, Chinese, North Indian, Biryani",Brookefield
Amaravati Food Court,Quick Bites,3.3,7.0,300.0,1,0,Kerala,Whitefield
Amaravati Grand,Casual Dining,3.3,7.0,550.0,0,0,"Chinese, Andhra, Mangalorean",Jayanagar
Amazing Blue Pub,Pub,3.4,10.0,900.0,0,0,Finger Food,Malleshwaram
Ambara Gardenia,Casual Dining,3.8,256.0,800.0,1,1,"Andhra, North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala"
Ambarsaria,Casual Dining,2.7,57.0,800.0,0,0,North Indian,New BEL Road
Amber Rush by The Pool,"Bar, Casual Dining",3.9,140.0,1500.0,0,0,"North Indian, Chinese, Continental",Brookefield
Amber Rush Restobar,Pub,4.1,93.0,1000.0,0,1,"Continental, Chinese, Fast Food",Brigade Road
Ambika Biryani Corner,Quick Bites,3.5,37.0,300.0,0,0,Biryani,Rajajinagar
